onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0272	2.0072	drink:hydrate::house:home	drink:hydrate	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
5.772	2.0125	drink:hydrate::house:home	None	house:home	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
8.7802	0.714	drink:hydrate::house:home	drink:hydrate	house:home	0	3	1	9	1	['3']	3	2	0	0	1	1.0	Probe
10.5084	2.0095	sword:knife::accident:damage	sword:knife	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
13.2242	2.0105	sword:knife::accident:damage	None	accident:damage	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
15.7613	0.7272	sword:knife::accident:damage	sword:knife	accident:damage	0	1	3	2	7	['4']	3	2	0	0	1	1.0	Probe
17.5098	2.0084	nervousness:sweat::coldness:shiver	nervousness:sweat	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
20.1657	2.0191	nervousness:sweat::coldness:shiver	None	coldness:shiver	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
23.6156	0.5951	nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	1	3	3	8	8	['4']	4	2	0	0	1	1.0	Probe
25.2257	2.0093	discount:price::heat:temperature	discount:price	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
27.7902	2.0115	discount:price::heat:temperature	None	heat:temperature	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
30.771	0.4496	discount:price::heat:temperature	discount:price	heat:temperature	1	1	1	3	3	['3']	4	2	0	0	1	1.0	Probe
32.2419	2.0096	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
34.7884	2.0132	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
38.18	0.6307	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['4']	4	1	0	0	1	1.0	Probe
39.8257	2.0092	thirsty:drink::anger:yell	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
43.937	2.0146	thirsty:drink::anger:yell	None	anger:yell	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
46.7773	1.0014	thirsty:drink::anger:yell	thirsty:drink	anger:yell	1	3	3	8	8	['4']	4	2	0	0	1	1.0	Probe
48.7913	2.0103	in:out::left:right	in:out	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
52.4429	2.0086	in:out::left:right	None	left:right	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
55.6867	0.5819	in:out::left:right	in:out	left:right	1	2	2	5	5	['4']	4	2	0	0	1	1.0	Probe
57.2937	2.0078	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
60.1382	2.0133	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
64.2264	0.5542	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['3']	3	2	0	0	1	1.0	Probe
65.7917	2.0099	rise:sink::shovel:spoon	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
69.2353	2.0162	rise:sink::shovel:spoon	None	shovel:spoon	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
71.7875	0.688	rise:sink::shovel:spoon	rise:sink	shovel:spoon	0	2	1	5	2	['4']	4	1	0	0	1	1.0	Probe
73.4917	2.0098	work:earn::stairs:ladder	work:earn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
